epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,210.268,0.99347,3.56982,1.30694,0.48283,0.60399,0.55754,0.42278,1.08643,1.49927,1.36337,0.00332942,0.00332942,0.00332942
2,390.073,0.92597,2.17815,1.22924,0.7325,0.74619,0.80395,0.59454,1.09951,1.0341,1.34884,0.00659679,0.00659679,0.00659679
3,569.359,0.9551,1.93868,1.23145,0.7197,0.63056,0.71072,0.51886,1.10008,1.17357,1.38897,0.00979816,0.00979816,0.00979816
4,747.636,0.9683,1.7744,1.23251,0.78734,0.84933,0.8992,0.63216,1.19023,0.93144,1.42212,0.009703,0.009703,0.009703
5,926.051,0.90789,1.4905,1.19419,0.84882,0.82123,0.90038,0.68884,1.07696,0.84159,1.38636,0.009604,0.009604,0.009604
6,1104.32,0.86489,1.28414,1.16791,0.89478,0.86589,0.9527,0.68674,1.1183,0.80731,1.36219,0.009505,0.009505,0.009505
7,1281.61,0.83128,1.16054,1.14934,0.81833,0.8317,0.90205,0.70667,1.0492,0.84668,1.37409,0.009406,0.009406,0.009406
8,1461.75,0.80497,1.06436,1.13524,0.94048,0.9101,0.95565,0.7676,1.02982,0.64709,1.30778,0.009307,0.009307,0.009307
9,1640.83,0.78308,0.99168,1.12478,0.92373,0.92263,0.95965,0.75586,0.99932,0.65008,1.29407,0.009208,0.009208,0.009208
10,1818.57,0.77235,0.94574,1.12075,0.90643,0.92106,0.9511,0.76464,1.01403,0.6077,1.30867,0.009109,0.009109,0.009109
11,1995.75,0.75819,0.89911,1.10939,0.93332,0.94679,0.96856,0.79102,0.9479,0.56818,1.27639,0.00901,0.00901,0.00901
12,2172.77,0.74637,0.86868,1.1073,0.92495,0.92809,0.964,0.79785,0.94379,0.57497,1.26967,0.008911,0.008911,0.008911
13,2351.06,0.73768,0.83275,1.0995,0.94777,0.93181,0.96528,0.81961,0.89576,0.53143,1.24278,0.008812,0.008812,0.008812
14,2529.57,0.72094,0.78898,1.09152,0.92766,0.91715,0.96465,0.80259,0.88649,0.53837,1.21828,0.008713,0.008713,0.008713
15,2708.54,0.7165,0.78178,1.0902,0.8962,0.93213,0.96266,0.8076,0.91084,0.5354,1.22368,0.008614,0.008614,0.008614
16,2887.6,0.71063,0.75969,1.08596,0.94703,0.92675,0.96929,0.82426,0.89601,0.50551,1.22353,0.008515,0.008515,0.008515
17,3066.53,0.69858,0.72915,1.0815,0.93764,0.93886,0.97146,0.8353,0.82919,0.47142,1.18778,0.008416,0.008416,0.008416
18,3246.76,0.69899,0.7231,1.07811,0.90553,0.92094,0.96519,0.83737,0.82764,0.50411,1.19552,0.008317,0.008317,0.008317
19,3426.57,0.68497,0.70107,1.074,0.9339,0.94088,0.97119,0.81316,0.88374,0.49238,1.21433,0.008218,0.008218,0.008218
20,3606.14,0.68073,0.68411,1.07077,0.95526,0.94552,0.97165,0.83373,0.82551,0.45505,1.17942,0.008119,0.008119,0.008119
21,3784.33,0.67768,0.67465,1.06874,0.92568,0.93311,0.95468,0.81502,0.84791,0.49333,1.18281,0.00802,0.00802,0.00802
22,3962.76,0.67352,0.66816,1.06711,0.9374,0.93578,0.96804,0.84524,0.81149,0.47045,1.17057,0.007921,0.007921,0.007921
23,4141.31,0.67092,0.65321,1.06611,0.92229,0.94164,0.97104,0.83226,0.83345,0.46107,1.18648,0.007822,0.007822,0.007822
24,4320.2,0.66526,0.6357,1.06087,0.94484,0.95019,0.97414,0.8263,0.8335,0.46093,1.18094,0.007723,0.007723,0.007723
25,4499.51,0.66103,0.63523,1.06201,0.9318,0.95054,0.96885,0.83461,0.83776,0.45238,1.18062,0.007624,0.007624,0.007624
26,4678.63,0.65343,0.6167,1.05701,0.93149,0.94643,0.96676,0.83899,0.80163,0.44806,1.16774,0.007525,0.007525,0.007525
27,4857.36,0.64963,0.61274,1.05628,0.954,0.95034,0.9692,0.83179,0.82467,0.43727,1.16881,0.007426,0.007426,0.007426
28,5035.68,0.64711,0.59856,1.05116,0.93967,0.94849,0.9616,0.83197,0.81797,0.44647,1.16902,0.007327,0.007327,0.007327
29,5213.87,0.63963,0.58228,1.04992,0.93583,0.94612,0.96522,0.8471,0.79455,0.43833,1.15752,0.007228,0.007228,0.007228
30,5391.94,0.63928,0.5838,1.05023,0.93564,0.93457,0.96795,0.84056,0.79904,0.43728,1.15782,0.007129,0.007129,0.007129
31,5569.9,0.63785,0.57777,1.04763,0.93288,0.94601,0.96891,0.84864,0.78581,0.43642,1.14621,0.00703,0.00703,0.00703
32,5749.92,0.63631,0.57043,1.04852,0.92508,0.93782,0.96284,0.843,0.78362,0.44759,1.1468,0.006931,0.006931,0.006931
33,5930.02,0.62674,0.5568,1.04486,0.91967,0.93147,0.96761,0.8494,0.79099,0.43665,1.15511,0.006832,0.006832,0.006832
34,6110.87,0.62928,0.5586,1.04582,0.92251,0.94503,0.96547,0.8517,0.77979,0.42885,1.15393,0.006733,0.006733,0.006733
35,6291,0.62103,0.53905,1.04004,0.91746,0.94217,0.94792,0.83096,0.78339,0.44649,1.15237,0.006634,0.006634,0.006634
36,6471.89,0.62388,0.54135,1.04093,0.92202,0.95142,0.96575,0.84919,0.78492,0.42835,1.14384,0.006535,0.006535,0.006535
37,6652.47,0.61833,0.5367,1.04102,0.92825,0.95164,0.97308,0.85791,0.77441,0.4236,1.13588,0.006436,0.006436,0.006436
38,6835.36,0.61537,0.52602,1.03685,0.94046,0.9542,0.96697,0.84781,0.78077,0.40817,1.14715,0.006337,0.006337,0.006337
39,7018.92,0.60957,0.51939,1.03484,0.93761,0.95485,0.969,0.85035,0.78526,0.41883,1.14832,0.006238,0.006238,0.006238
40,7201.65,0.60804,0.51768,1.03665,0.92646,0.94631,0.96978,0.85337,0.77619,0.41737,1.14413,0.006139,0.006139,0.006139
41,7383.56,0.6023,0.51189,1.03111,0.93411,0.94623,0.97591,0.85665,0.77106,0.41168,1.13938,0.00604,0.00604,0.00604
42,7564.59,0.60614,0.50454,1.03289,0.94824,0.95566,0.97303,0.85489,0.7745,0.40821,1.14265,0.005941,0.005941,0.005941
43,7746.37,0.60539,0.50354,1.03267,0.94521,0.94732,0.96874,0.85923,0.76994,0.42024,1.13869,0.005842,0.005842,0.005842
44,7927.18,0.6009,0.49511,1.02934,0.94306,0.95083,0.96532,0.85172,0.77006,0.40989,1.13487,0.005743,0.005743,0.005743
45,8108.93,0.59799,0.49574,1.02978,0.9405,0.93677,0.96655,0.85266,0.76617,0.41377,1.13424,0.005644,0.005644,0.005644
46,8290.42,0.595,0.48489,1.02811,0.93717,0.93793,0.96453,0.85257,0.76256,0.41226,1.13426,0.005545,0.005545,0.005545
47,8476.33,0.58899,0.47904,1.02817,0.94083,0.94402,0.9679,0.85573,0.76788,0.40848,1.1417,0.005446,0.005446,0.005446
48,8660.48,0.59067,0.47638,1.02762,0.93612,0.94427,0.96566,0.85542,0.76435,0.40899,1.13924,0.005347,0.005347,0.005347
49,8842.02,0.58725,0.47446,1.02456,0.94645,0.95036,0.96383,0.85416,0.76178,0.40697,1.13944,0.005248,0.005248,0.005248
50,9022.67,0.58491,0.47028,1.02188,0.94549,0.94995,0.96852,0.85647,0.76587,0.40205,1.14131,0.005149,0.005149,0.005149
