epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,222.478,0.85675,0.95375,1.23254,0.69458,0.75666,0.82556,0.53124,1.35257,0.95843,1.61661,0.0525558,0.00249706,0.00249706
2,414.21,0.94347,1.1921,1.29032,0.84027,0.77239,0.88932,0.60442,1.26406,0.84551,1.50546,0.00496587,0.00490712,0.00490712
3,604.839,0.93604,1.14765,1.28333,0.87702,0.85658,0.91324,0.63526,1.2108,0.78627,1.43791,0.00482,0.00482,0.00482
4,792.006,0.89785,1.03766,1.25205,0.89125,0.89964,0.94333,0.7465,1.0003,0.69285,1.30647,0.00473,0.00473,0.00473
5,981.428,0.8608,0.978,1.22598,0.93406,0.90455,0.95359,0.7434,1.02655,0.57762,1.30647,0.00464,0.00464,0.00464
6,1171.97,0.83451,0.91425,1.21237,0.92438,0.90879,0.9577,0.76837,0.99793,0.58501,1.30134,0.00455,0.00455,0.00455
7,1362.63,0.81644,0.87061,1.19899,0.9243,0.92912,0.97314,0.70912,1.14143,0.55153,1.38583,0.00446,0.00446,0.00446
8,1552.57,0.80349,0.83222,1.18949,0.9145,0.9462,0.9665,0.71706,1.08528,0.55654,1.34398,0.00437,0.00437,0.00437
9,1742.09,0.7938,0.80934,1.1806,0.90127,0.9139,0.96082,0.72236,1.06462,0.55094,1.31642,0.00428,0.00428,0.00428
10,1932.28,0.78593,0.79353,1.17697,0.91194,0.91782,0.96251,0.7795,0.99386,0.54273,1.25928,0.00419,0.00419,0.00419
11,2121.08,0.76602,0.76056,1.16463,0.9429,0.92777,0.97144,0.77674,0.98468,0.51124,1.26171,0.0041,0.0041,0.0041
12,2311.36,0.76155,0.75385,1.16345,0.94257,0.93979,0.97524,0.79582,0.95569,0.48704,1.24745,0.00401,0.00401,0.00401
13,2501.65,0.75914,0.73234,1.15999,0.93235,0.93607,0.96937,0.77297,1.00032,0.49374,1.26212,0.00392,0.00392,0.00392
14,2689.65,0.74117,0.71139,1.14818,0.9167,0.92027,0.95265,0.77857,0.96544,0.49865,1.27267,0.00383,0.00383,0.00383
15,2879.37,0.7421,0.71375,1.14879,0.92268,0.93421,0.95924,0.80684,0.87093,0.49334,1.19946,0.00374,0.00374,0.00374
16,3069.44,0.73385,0.69349,1.14198,0.93133,0.92692,0.9594,0.79536,0.90426,0.49487,1.21634,0.00365,0.00365,0.00365
17,3262.41,0.72619,0.67919,1.1369,0.93554,0.93047,0.96965,0.81265,0.88154,0.46203,1.20359,0.00356,0.00356,0.00356
18,3455.75,0.72668,0.67066,1.13857,0.94546,0.94893,0.97536,0.82625,0.88622,0.44966,1.19822,0.00347,0.00347,0.00347
19,3646.63,0.71538,0.65758,1.13182,0.91226,0.93923,0.96545,0.80209,0.91895,0.46398,1.21355,0.00338,0.00338,0.00338
20,3835.55,0.70578,0.64005,1.12511,0.91097,0.93097,0.96307,0.818,0.87272,0.4656,1.19127,0.00329,0.00329,0.00329
21,4030.19,0.70295,0.63542,1.12314,0.92198,0.94748,0.97425,0.83092,0.86557,0.43992,1.18246,0.0032,0.0032,0.0032
22,4222.28,0.69008,0.6154,1.11492,0.93428,0.94117,0.96655,0.84585,0.83274,0.45869,1.17632,0.00311,0.00311,0.00311
23,4414.28,0.69283,0.61629,1.11633,0.92355,0.94242,0.96149,0.81865,0.85802,0.44692,1.18466,0.00302,0.00302,0.00302
24,4606.3,0.68889,0.60813,1.11516,0.94042,0.92334,0.96823,0.82104,0.85628,0.45098,1.18159,0.00293,0.00293,0.00293
25,4801.77,0.68958,0.60394,1.11579,0.91413,0.94205,0.96919,0.82466,0.85462,0.44435,1.18227,0.00284,0.00284,0.00284
26,4994.72,0.67009,0.5812,1.10738,0.94404,0.94548,0.97186,0.82189,0.87453,0.43868,1.18995,0.00275,0.00275,0.00275
27,5185.94,0.67403,0.58322,1.10761,0.9312,0.94294,0.97261,0.83229,0.84742,0.42506,1.1777,0.00266,0.00266,0.00266
28,5376.14,0.67129,0.56601,1.10389,0.94347,0.94674,0.9749,0.84314,0.83091,0.40571,1.16117,0.00257,0.00257,0.00257
29,5569.36,0.6581,0.55454,1.09504,0.93106,0.94035,0.97837,0.8458,0.84341,0.42422,1.16746,0.00248,0.00248,0.00248
30,5761.33,0.6655,0.55413,1.10352,0.92912,0.94928,0.97144,0.84219,0.83946,0.43339,1.16165,0.00239,0.00239,0.00239
